register_id,name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
?75990125987,Aparcament Odiseus,344101,Trav Gràcia,56,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8006,BARCELONA,TRUE,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,6.5103E+13,428937.4155,4583074.116,41.39606466,2.149933177
?99400642649,Escales Mecàniques dels Canadencs,22400,C Arenys,77,38,la Teixonera,7,Horta-Guinardó,8035,BARCELONA,TRUE,63733071,Escales mecàniques,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Escales mecàniques,651,6.5103E+13,428524.0499,4586019.043,41.42255178,2.144641086
?99400602855,"Zona de Càrrega i Descàrrega * C Sant Hermenegild, 20",302906,C Sant Hermenegild,20,27,el Putxet i el Farró,5,Sarrià-Sant Gervasi,8006,BARCELONA,TRUE,,,,,,428542.2361,4583929.302,41.40373197,2.145105517
?99400602857,"Zona de Càrrega i Descàrrega * C Sales i Ferré, 19",293601,C Sales i Ferré,19,35,el Guinardó,7,Horta-Guinardó,8041,BARCELONA,TRUE,,,,,,430907.9338,4585681.127,41.41971684,2.173204937
?99400602864,"Zona de Càrrega i Descàrrega * C Tapioles, 24",330504,C Tapioles,24,11,el Poble-sec,3,Sants-Montjuïc,8004,BARCELONA,TRUE,,,,,,430113.7066,4580551.463,41.37344703,2.16429377
?99400602868,"Zona de Càrrega i Descàrrega * C Llacuna, 157",183603,C Llacuna,157,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,8018,BARCELONA,TRUE,,,,,,432477.1079,4584164.214,41.40618787,2.192150051
?99400602871,"Zona de Càrrega i Descàrrega * C Ciutat d'Asunción, 34",80101,C Ciutat d'Asunción,34,59,el Bon Pastor,9,Sant Andreu,8030,BARCELONA,TRUE,,,,,,433169.4814,4588092.997,41.44163108,2.199998676
?99400602872,"Zona de Càrrega i Descàrrega * Ctra C-31, 2074",701414,Ctra C-31,2074,71,Provençals del Poblenou,10,Sant Martí,8020,BARCELONA,TRUE,,,,,,433184.5018,4584954.407,41.41336403,2.20052533
?99400602873,"Zona de Càrrega i Descàrrega * C Sant Pau, 122",308505,C Sant Pau,122,1,el Raval,1,Ciutat Vella,8001,BARCELONA,TRUE,,,,,,430445.4603,4580793.131,41.37565241,2.168232778
?75990129171,Aparcament Nuñez y Navarro València - 2,350308,C València,245,7,la Dreta de l'Eixample,2,Eixample,8007,BARCELONA,TRUE,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,6.5103E+13,430003.0432,4582658.002,41.39241033,2.162727239
?99400600709,"Zona de Càrrega i Descàrrega * C Travau, 40",342707,C Travau,40,46,el Turó de la Peira,8,Nou Barris,8031,BARCELONA,TRUE,,,,,,430557.8509,4587104.166,41.43250343,2.168852627
?99400600712,"Zona de Càrrega i Descàrrega * Pg Fabra i Puig, 169",119003,Pg Fabra i Puig,169,44,Vilapicina i la Torre Llobeta,8,Nou Barris,8016,BARCELONA,TRUE,,,,,,431349.5043,4586842.059,41.43021079,2.178356689
?75990286235,Aparcament Obach,110304,C Enric Granados,79,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8008,BARCELONA,TRUE,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,6.5103E+13,429523.9759,4582590.493,41.39176046,2.157005295
?99400602455,"Zona de Càrrega i Descàrrega * C Aribau, 272",23403,C Aribau,272,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8006,BARCELONA,TRUE,,,,,,428767.9641,4583226.389,41.39742114,2.147888462
?99400602461,"Zona de Càrrega i Descàrrega * C Londres, 73",180208,C Londres,73,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036,BARCELONA,TRUE,,,,,,428871.0232,4582676.054,41.3924736,2.149185815
