Any,Id_aforament,Mes,Codi_tipus_dia,Desc_tipus_dia,Valor_IMD
2024,10014,10,2,laborables,Mesura no disponible
2024,10014,10,3,divendres,Mesura no disponible
2024,10014,10,4,dissabte,Mesura no disponible
2024,10014,10,5,diumenge,Mesura no disponible
2024,10014,11,1,dilluns,Mesura no disponible
2024,10014,11,2,laborables,Mesura no disponible
2024,10014,11,3,divendres,Mesura no disponible
2024,10014,11,4,dissabte,Mesura no disponible
2024,10014,11,5,diumenge,Mesura no disponible
2024,10014,12,1,dilluns,3168
2024,10014,12,2,laborables,3250
2024,10014,12,3,divendres,3111
2024,10014,12,4,dissabte,2860
2024,10014,12,5,diumenge,2264
2024,10015,1,1,dilluns,13751
2024,10015,1,2,laborables,13962
2024,10015,1,3,divendres,14505
2024,10015,1,4,dissabte,12479
2024,10015,1,5,diumenge,9469
2024,10015,2,1,dilluns,13438
2024,10015,2,2,laborables,14294
2024,10015,2,3,divendres,15324
2024,10015,2,4,dissabte,12361
2024,10015,2,5,diumenge,9988
2024,10015,3,1,dilluns,13397
2024,10015,3,2,laborables,13722
2024,10015,3,3,divendres,15122
2024,10015,3,4,dissabte,11973
2024,10015,3,5,diumenge,9125
2024,10015,4,1,dilluns,13962
2024,10015,4,2,laborables,14477
2024,10015,4,3,divendres,15562
2024,10015,4,4,dissabte,12839
2024,10015,4,5,diumenge,9539
2024,10015,5,1,dilluns,13960
2024,10015,5,2,laborables,14623
2024,10015,5,3,divendres,15848
2024,10015,5,4,dissabte,12642
2024,10015,5,5,diumenge,10371
2024,10015,6,1,dilluns,14054
2024,10015,6,2,laborables,15014
2024,10015,6,3,divendres,16142
