register_id,name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
?99400603251,"Parada de taxis * Av Meridiana, 400",209900,Av Meridiana,400,,60,Sant Andreu,9,Sant Andreu,8030,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,431782.3851,4586922.829,41.43097514,2.183528
?99400603183,"Parada de taxis * Pg Fabra i Puig, 301",119003,Pg Fabra i Puig,301,,44,Vilapicina i la Torre Llobeta,8,Nou Barris,8031,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,430533.8972,4586864.93,41.43034666,2.16859345
?99400603184,"Parada de taxis * C Còrsega, 597",90502,C Còrsega,597,,6,la Sagrada Família,2,Eixample,8025,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,430972.9164,4584363.214,41.40785244,2.174132847
?99400603186,"Parada de taxis * Rda Sant Antoni, 84",296508,Rda Sant Antoni,84,,1,el Raval,1,Ciutat Vella,8001,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,430089.4096,4581706.978,41.38385229,2.163869964
?99400603193,"Parada de taxis * C Provença, 175",268003,C Provença,175,,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,429423.1169,4582454.767,41.39052918,2.155814817
?99400603204,"Parada de taxis * Pg Zona Franca, 136",369408,Pg Zona Franca,136,,13,la Marina de Port,3,Sants-Montjuïc,8038,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,428114.2054,4578900.416,41.35840052,2.140581814
?99400603054,"Parada de taxis * Ctra Carmel, 9999",67001,Ctra Carmel,9999,,37,el Carmel,7,Horta-Guinardó,8024,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,429408.1955,4585186.959,41.41513571,2.155317736
?99400603057,"Parada de taxis * C Consell de Cent, 441",89004,C Consell de Cent,441,,7,la Dreta de l'Eixample,2,Eixample,8013,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,430956.6878,4583218.237,41.39753862,2.174069296
?99400603059,"Parada de taxis * C Josep Ferrater i Móra, 2",701205,C Josep Ferrater i Móra,2,,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,8019,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,434170.4045,4583782.989,41.40289472,2.212448406
?99400603074,"Parada de taxis * C Pujades, 167",270901,C Pujades,167,,68,el Poblenou,10,Sant Martí,8005,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,433157.7414,4583644.984,41.40156819,2.200349785
